"wikidata_code","birth","death","updated_death_date","approx_birth","approx_death","birth_min","birth_max","death_min","death_max","gender","level1_main_occ","name","un_subregion","birth_estimation","death_estimation","bigperiod_birth_graph_b","bigperiod_death_graph_b","curid","level2_main_occ","freq_main_occ","freq_second_occ","level2_second_occ","level3_main_occ","bigperiod_birth","bigperiod_death","wiki_readers_2015_2018","non_missing_score","total_count_words_b","number_wiki_editions","total_noccur_links_b","sum_visib_ln_5criteria","ranking_visib_5criteria","all_geography_groups","string_citizenship_raw_d","citizenship_1_b","citizenship_2_b","list_areas_of_rattach","area1_of_rattachment","area2_of_rattachment","list_wikipedia_editions","un_region","group_wikipedia_editions","bplo1","dplo1","bpla1","dpla1","pantheon_1","level3_all_occ","mid_point"
"Q10328616",NA,NA,NA,"century","century",-100,100,1,200,"Male","Discovery/Science","Menander_(gnostic)","",0,62.625183,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",39347364,"Academia",0.30000001,0.30000001,"Other","teacher","Missing","Missing",24688,3,5235,9,0,20.980133,804779,"","","","","","Missing","Missing","ptwiki|cswiki|enwiki|bgwiki|dewiki|ruwiki|cvwiki|shwiki|cawiki","","grA",NA,NA,NA,NA,0,"D:_teacher_magic_P:_magic_instructor_emperor_English_märtyrer_German_força_ministr_Portuguese",31.3125915
"Q1047689",NA,NA,NA,"century","century",101,200,101,300,"Male","Discovery/Science","Menodotus_of_Nicomedia","Southern Europe",151,215.37466,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",14832478,"Academia",0.89999998,NA,"Missing","physician","Missing","Missing",6539,3,4953,9,5,21.388447,352582,"","","Greece","","P:_'Greece'_can't_verifyB1","Greece","Missing","dewiki|plwiki|frwiki|enwiki|cawiki|fiwiki|huwiki|nlwiki|ruwiki","Europe","grA",29.9174995422363,NA,40.7625007629395,NA,0,"D:_physician_P:_physician_philosopher_pupil_English_médecin_médecine_philosophe_French_arzt_philosoph_German",183.18733
"Q1048408",NA,NA,NA,"century","century",-100,-1,-100,100,"Male","Discovery/Science","Cassius_(Mediziner)","",-50,12.625183,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",6964256,"Academia",0.5,0.5,"Nobility","arzt","Missing","Missing",144,3,1499,1,3,14.389874,1871058,"","","","","","Missing","Missing","dewiki","","grB",NA,NA,NA,NA,0,"D:_P:_arzt_kaiser_German",-18.6874085
"Q1049225",80,150,NA,"","circa",80,80,150,150,"Male","Discovery/Science","Rufus_of_Ephesus","Southern Europe",80,150,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",5317583,"Academia",0.5625,0.375,"Culture-core","physician","1.Ancient History Before 500AD","1.Ancient History Before 500AD",37204,3,12776,15,14,25.46032,77753,"","","Greece","","P:_'Greece'_can't_verifyB1","Old_(before_year_1830_AD)_Greece","Missing","dewiki|bgwiki|frwiki|enwiki|eswiki|cawiki|huwiki|svwiki|ruwiki|ukwiki|arwiki|itwiki|eowiki|elwiki|fawiki","Europe","grA",27.348611831665,NA,37.9397201538086,NA,0,"D:_writer_P:_physician_author_anatomy_English_médecin_clinicien_auteur_French_medico_Italian_arzt_medizinisch_schriftsteller_German_médic_autor_dietétic_Spanish_läkare_Swedish",115
"Q1049820",NA,NA,NA,"century","century",201,300,201,400,"Male","Discovery/Science","Castricius_Firmus","",251,304.06146,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",5485382,"Academia",1,NA,"Missing","philosopher","Missing","Missing",593,3,1336,1,0,14.283248,2705142,"","","","","","Missing","Missing","dewiki","","grB",NA,NA,NA,NA,0,"D:_philosopher_P:_philosoph_German",277.53073
"Q1050414",-138,-70,NA,"","",-138,-138,-70,-70,"Male","Discovery/Science","Phaedrus_the_Epicurean","Southern Europe",-138,-70,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",13926174,"Academia",0.85714287,NA,"Missing","philosopher","1.Ancient History Before 500AD","1.Ancient History Before 500AD",21668,3,6782,9,1,21.801683,540654,"","","Greece","","P:_'Greece'_can't_verifyB1","Old_(before_year_1830_AD)_Greece","Missing","elwiki|frwiki|ruwiki|enwiki|cawiki|fiwiki|huwiki|itwiki|zhwiki","Europe","grA",NA,NA,NA,NA,0,"D:_philosopher_P:_philosopher_scholar_son_English_philosophe_French_filosofo_Italian",-104
"Q1051470",120,175,NA,"","",120,120,175,175,"Male","Discovery/Science","Vettius_Valens","Southern Europe",120,175,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",3463719,"Academia",0.5714286,0.42857143,"Other","hellenist","1.Ancient History Before 500AD","1.Ancient History Before 500AD",29008,3,7535,12,11,24.252768,125661,"","","Greece","","P:_'Greece'_can't_verifyB1","Old_(before_year_1830_AD)_Greece","Missing","dewiki|cswiki|ruwiki|frwiki|shwiki|enwiki|huwiki|itwiki|kowiki|plwiki|cawiki|hewiki","Europe","grA",36.1816673278809,NA,36.2047233581543,NA,0,"D:_astrologer_astronomer_P:_hellenist_astrologer_English_astronom_German",147.5
"Q1056198",200,250,NA,"","",200,200,250,250,"Male","Discovery/Science","Aquila_Romanus","Southern Europe",200,250,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",235967,"Academia",1,NA,"Missing","grammarian","1.Ancient History Before 500AD","1.Ancient History Before 500AD",4289,3,7277,5,7,21.128553,351203,"Roman_Empire","'Ancient_Rome'","Roman_Empire","","D:_'Ancient_Rome'_can't_verifyB1","Roman_Empire","Missing","ptwiki|plwiki|enwiki|itwiki|eswiki","Europe","grA",NA,NA,NA,NA,0,"D:_P:_grammarian_English_grammatico_Italian_filolog_filología_Spanish",225
"Q1057347",NA,-144,NA,"century","",-200,-101,-144,-144,"Male","Discovery/Science","Hegesander_(historian)","Southern Europe",-212.14249,-144,"1.Ancient History Before 500AD","1.Ancient History Before 500AD",24655591,"Academia",0.625,0.25,"Culture-core","historian","Missing","1.Ancient History Before 500AD",4878,3,6515,5,4,20.676523,421862,"","","Greece","","P:_'Greece'_can't_verifyB1","Old_(before_year_1830_AD)_Greece","Missing","enwiki|itwiki|huwiki|cawiki|frwiki","Europe","grA",22.5,NA,38.4799995422363,NA,0,"D:_writer_historian_P:_historian_English_historien_citoyen_French_storico_Italian",-178.071245
"Q1058040",1100,1183,NA,"circa","",1100,1100,1183,1183,"Male","Discovery/Science","Philip_of_Harveng","Western Europe",1100,1183,"2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",16368785,"Academia",0.5,0.2857143,"Religious","theologian","2.Post-Classical History 501-1500AD","2.Post-Classical History 501-1500AD",3551,3,9965,4,16,21.825697,300612.5,"","","Belgium","France","P:_'Belgium'_'France'_can't_verifyB1B2","Old_(before_year_1830_AD)_Belgium","France","frwiki|enwiki|itwiki|ptwiki","Europe","grA",3.98688411712646,NA,50.3949012756348,NA,0,"D:_theologian_hagiographer_P:_abbot_writer_abbot_English_noble_évêque_études_French_teologo_Italian_monge_teólog_remo_Portuguese",1141.5
